,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,58,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,58,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,58,,,9,14,,81,,,14,19,,23,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,58,,,9,14,,82,,,14,19,,23,28,11,9,,12,,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,58,,,9,14,,83,,,14,19,,23,28,11,9,,12,,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,12,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,59,,,9,14,,83,,,14,19,,23,28,11,,,12,,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,12,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,59,,,9,14,,83,,,14,19,,23,28,11,,,12,,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,12,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,59,,,9,14,,83,,,14,19,,23,28,11,,,12,,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,12,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,26,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,58,,,9,14,,83,,,14,19,,23,28,11,,,12,,,15,9,15,9,,24,,24,10,,8
